oldnames,newnames
id_subject,id_subject
id_activity,activity
tBodyAcc-mean()-X,summary.mean...time.bodyaccelerometer..mean...x
tBodyAcc-mean()-Y,summary.mean...time.bodyaccelerometer..mean...y
tBodyAcc-mean()-Z,summary.mean...time.bodyaccelerometer..mean...z
tGravityAcc-mean()-X,summary.mean...time.gravityaccelerometer..mean...x
tGravityAcc-mean()-Y,summary.mean...time.gravityaccelerometer..mean...y
tGravityAcc-mean()-Z,summary.mean...time.gravityaccelerometer..mean...z
tBodyAccJerk-mean()-X,summary.mean...time.bodyaccelerometer.jerk.mean...x
tBodyAccJerk-mean()-Y,summary.mean...time.bodyaccelerometer.jerk.mean...y
tBodyAccJerk-mean()-Z,summary.mean...time.bodyaccelerometer.jerk.mean...z
tBodyGyro-mean()-X,summary.mean...time.bodygyroscope..mean...x
tBodyGyro-mean()-Y,summary.mean...time.bodygyroscope..mean...y
tBodyGyro-mean()-Z,summary.mean...time.bodygyroscope..mean...z
tBodyGyroJerk-mean()-X,summary.mean...time.bodygyroscope.jerk.mean...x
tBodyGyroJerk-mean()-Y,summary.mean...time.bodygyroscope.jerk.mean...y
tBodyGyroJerk-mean()-Z,summary.mean...time.bodygyroscope.jerk.mean...z
tBodyAccMag-mean(),summary.mean...time.bodyaccelerometer.magnitude..mean..
tGravityAccMag-mean(),summary.mean...time.gravityaccelerometer.magnitude..mean..
tBodyAccJerkMag-mean(),summary.mean...time.bodyaccelerometer.jerkmagnitude..mean..
tBodyGyroMag-mean(),summary.mean...time.bodygyroscope.magnitude..mean..
tBodyGyroJerkMag-mean(),summary.mean...time.bodygyroscope.jerkmagnitude..mean..
fBodyAcc-mean()-X,summary.mean...frequency.bodyaccelerometer..mean...x
fBodyAcc-mean()-Y,summary.mean...frequency.bodyaccelerometer..mean...y
fBodyAcc-mean()-Z,summary.mean...frequency.bodyaccelerometer..mean...z
fBodyAcc-meanFreq()-X,summary.mean...frequency.bodyaccelerometer..meanfreq...x
fBodyAcc-meanFreq()-Y,summary.mean...frequency.bodyaccelerometer..meanfreq...y
fBodyAcc-meanFreq()-Z,summary.mean...frequency.bodyaccelerometer..meanfreq...z
fBodyAccJerk-mean()-X,summary.mean...frequency.bodyaccelerometer.jerk.mean...x
